Date,Country,Confirmed,Deaths,Recovered,Active,Daily_Confirmed,7Day_Avg
2020-03-01,India,3,0,0,3,,
2020-03-15,India,114,2,13,99,111.0,
2020-03-30,India,1251,32,102,1117,1137.0,456.0
2020-04-15,India,12380,414,1510,10456,11129.0,4581.666666666667
2020-04-30,India,33050,1074,8325,23651,20670.0,15560.333333333334
2020-05-15,India,85940,2750,30258,52932,52890.0,43790.0
2020-05-30,India,173763,4971,82370,86422,87823.0,97584.33333333333
2020-06-15,India,343091,9900,180013,153178,169328.0,200931.33333333334
2020-06-30,India,585481,17400,347978,220103,242390.0,367445.0
2020-07-15,India,936181,24309,592032,319840,350700.0,621584.3333333334
2020-07-30,India,1637675,35747,1057806,544122,701494.0,1053112.3333333333
2020-08-15,India,2525922,49036,1801745,675141,888247.0,1699926.0
2020-08-30,India,3615073,64469,2778972,771632,1089151.0,2592890.0
2020-09-15,India,5020359,82066,3957799,980494,1405286.0,3720451.3333333335
2020-09-30,India,6225763,97497,5177140,951126,1205404.0,4953731.666666667
2020-10-15,India,7399074,112161,6511421,775492,1173311.0,6215065.333333333
2020-10-30,India,8174096,122111,7408650,643335,775022.0,7266311.0
2020-11-15,India,8826815,129635,8269861,427319,652719.0,8133328.333333333
2020-11-30,India,9468744,137139,8882059,449546,641929.0,8823218.333333334
2020-12-15,India,9916964,143709,9379028,394227,448220.0,9404174.333333334
2020-12-31,India,10266674,148738,9820934,297002,349710.0,9884127.333333334
