country,region,happiness_rank,happiness_score,standard_error,economy_(gdp_per_capita),family,health_(life_expectancy),freedom,trust_(government_corruption),generosity,dystopia_residual,year,lower_confidence_interval,upper_confidence_interval,happiness.rank,happiness.score,whisker.high,whisker.low,economy..gdp.per.capita.,health..life.expectancy.,trust..government.corruption.,dystopia.residual,happiness_to_gdp_ratio
Switzerland,Western Europe,1.0,7.587,0.03411,1.39651,1.34951,0.94143,0.66557,0.41978,0.29678,2.51738,2015,5.282394904458599,5.481974522292994,78.0,5.354019355773926,5.452325717478509,5.255712994069341,0.9847182019463474,0.5513407826123219,0.12312022065142951,1.8502378056126252,5.432828980816464
Iceland,Western Europe,2.0,7.561,0.04884,1.30232,1.40223,0.94784,0.62877,0.14145,0.4363,2.70201,2015,5.282394904458599,5.481974522292994,78.0,5.354019355773926,5.452325717478509,5.255712994069341,0.9847182019463474,0.5513407826123219,0.12312022065142951,1.8502378056126252,5.805792739111739
Denmark,Western Europe,3.0,7.527,0.03328,1.32548,1.36058,0.87464,0.64938,0.48357,0.34139,2.49204,2015,5.282394904458599,5.481974522292994,78.0,5.354019355773926,5.452325717478509,5.255712994069341,0.9847182019463474,0.5513407826123219,0.12312022065142951,1.8502378056126252,5.678697528442527
Norway,Western Europe,4.0,7.522,0.0388,1.459,1.33095,0.88521,0.66973,0.36503,0.34699,2.46531,2015,5.282394904458599,5.481974522292994,78.0,5.354019355773926,5.452325717478509,5.255712994069341,0.9847182019463474,0.5513407826123219,0.12312022065142951,1.8502378056126252,5.155586017820425
Canada,North America,5.0,7.427,0.03553,1.32629,1.32261,0.90563,0.63297,0.32957,0.45811,2.45176,2015,5.282394904458599,5.481974522292994,78.0,5.354019355773926,5.452325717478509,5.255712994069341,0.9847182019463474,0.5513407826123219,0.12312022065142951,1.8502378056126252,5.599831107827097
Finland,Western Europe,6.0,7.406,0.0314,1.29025,1.31826,0.88911,0.64169,0.41372,0.23351,2.61955,2015,5.282394904458599,5.481974522292994,78.0,5.354019355773926,5.452325717478509,5.255712994069341,0.9847182019463474,0.5513407826123219,0.12312022065142951,1.8502378056126252,5.739972873474133
Netherlands,Western Europe,7.0,7.378,0.02799,1.32944,1.28017,0.89284,0.61576,0.31814,0.4761,2.4657,2015,5.282394904458599,5.481974522292994,78.0,5.354019355773926,5.452325717478509,5.255712994069341,0.9847182019463474,0.5513407826123219,0.12312022065142951,1.8502378056126252,5.549705139005898
Sweden,Western Europe,8.0,7.364,0.03157,1.33171,1.28907,0.91087,0.6598,0.43844,0.36262,2.37119,2015,5.282394904458599,5.481974522292994,78.0,5.354019355773926,5.452325717478509,5.255712994069341,0.9847182019463474,0.5513407826123219,0.12312022065142951,1.8502378056126252,5.52973244925697
New Zealand,Australia and New Zealand,9.0,7.286,0.03371,1.25018,1.31967,0.90837,0.63938,0.42922,0.47501,2.26425,2015,5.282394904458599,5.481974522292994,78.0,5.354019355773926,5.452325717478509,5.255712994069341,0.9847182019463474,0.5513407826123219,0.12312022065142951,1.8502378056126252,5.827960773648594
Australia,Australia and New Zealand,10.0,7.284,0.04083,1.33358,1.30923,0.93156,0.65124,0.35637,0.43562,2.26646,2015,5.282394904458599,5.481974522292994,78.0,5.354019355773926,5.452325717478509,5.255712994069341,0.9847182019463474,0.5513407826123219,0.12312022065142951,1.8502378056126252,5.461989531936592
Israel,Middle East and Northern Africa,11.0,7.278,0.0347,1.22857,1.22393,0.91387,0.41319,0.07785,0.33172,3.08854,2015,5.282394904458599,5.481974522292994,78.0,5.354019355773926,5.452325717478509,5.255712994069341,0.9847182019463474,0.5513407826123219,0.12312022065142951,1.8502378056126252,5.923960376698113
Costa Rica,Latin America and Caribbean,12.0,7.226,0.04454,0.95578,1.23788,0.86027,0.63376,0.10583,0.25497,3.17728,2015,5.282394904458599,5.481974522292994,78.0,5.354019355773926,5.452325717478509,5.255712994069341,0.9847182019463474,0.5513407826123219,0.12312022065142951,1.8502378056126252,7.560317227813933
Austria,Western Europe,13.0,7.2,0.03751,1.33723,1.29704,0.89042,0.62433,0.18676,0.33088,2.5332,2015,5.282394904458599,5.481974522292994,78.0,5.354019355773926,5.452325717478509,5.255712994069341,0.9847182019463474,0.5513407826123219,0.12312022065142951,1.8502378056126252,5.384264487036636
Mexico,Latin America and Caribbean,14.0,7.187,0.04176,1.02054,0.91451,0.81444,0.48181,0.21312,0.14074,3.60214,2015,5.282394904458599,5.481974522292994,78.0,5.354019355773926,5.452325717478509,5.255712994069341,0.9847182019463474,0.5513407826123219,0.12312022065142951,1.8502378056126252,7.042350128363416
United States,North America,15.0,7.119,0.03839,1.39451,1.24711,0.86179,0.54604,0.1589,0.40105,2.51011,2015,5.282394904458599,5.481974522292994,78.0,5.354019355773926,5.452325717478509,5.255712994069341,0.9847182019463474,0.5513407826123219,0.12312022065142951,1.8502378056126252,5.105018967235804
Brazil,Latin America and Caribbean,16.0,6.983,0.04076,0.98124,1.23287,0.69702,0.49049,0.17521,0.14574,3.26001,2015,5.282394904458599,5.481974522292994,78.0,5.354019355773926,5.452325717478509,5.255712994069341,0.9847182019463474,0.5513407826123219,0.12312022065142951,1.8502378056126252,7.11650564591741
Luxembourg,Western Europe,17.0,6.946,0.03499,1.56391,1.21963,0.91894,0.61583,0.37798,0.28034,1.96961,2015,5.282394904458599,5.481974522292994,78.0,5.354019355773926,5.452325717478509,5.255712994069341,0.9847182019463474,0.5513407826123219,0.12312022065142951,1.8502378056126252,4.441432051716531
Ireland,Western Europe,18.0,6.94,0.03676,1.33596,1.36948,0.89533,0.61777,0.28703,0.45901,1.9757,2015,5.282394904458599,5.481974522292994,78.0,5.354019355773926,5.452325717478509,5.255712994069341,0.9847182019463474,0.5513407826123219,0.12312022065142951,1.8502378056126252,5.194766310368574
